Id,Property building category,Property building type,Title,Built up price psf,Size built up,Valuation price,YEAR,QUARTER,NAME,Year completion,Property building category,Property building type
464152,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,981,905,888200,2015,20152,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
464156,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,1050,905,950000,2015,20152,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
464157,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,892,367,327500,2014,20142,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
464158,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,1062,356,377900,2014,20144,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
469885,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,1059,841,890900,2014,20144,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
472804,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,1000,367,366900,2016,20162,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
474003,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,907,819,742800,2015,20152,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
481451,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,971,905,878700,2016,20164,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
482530,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,1000,410,409900,2016,20164,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
486577,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,989,819,810400,2016,20161,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
488088,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,1023,905,926200,2015,20152,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
498480,HIGHRISE,CONDO,RESIDENTIAL,1000,841,841100,2014,20143,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
523484,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,899,356,320200,2016,20163,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
524830,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,1052,367,386000,2016,20163,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
527010,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,945,905,855000,2016,20164,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
527011,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,1084,604,654500,2016,20164,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
528096,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,1060,367,389200,2016,20163,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
543688,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,1094,819,895900,2017,20173,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
545404,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,1024,367,375800,2017,20171,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
559351,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,1000,981,981200,2017,20173,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
559355,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,1000,410,409900,2017,20173,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
559357,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,879,819,720300,2017,20173,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
560403,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,1024,367,375800,2017,20171,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
654941,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,1024,367,375800,2017,20174,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
655991,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,989,819,810400,2018,20181,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
710966,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,1024,367,375800,2018,20181,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
711779,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,435,518,225200,2004,20044,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
711783,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,387,841,325300,2004,20044,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
711784,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,441,356,157000,2005,20051,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
711785,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,450,905,407000,2006,20062,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
711786,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,373,367,137000,2006,20062,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
711787,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,381,367,140000,2018,20182,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
711788,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,424,410,174000,2004,20044,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
717087,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,390,356,139000,2005,20051,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
717088,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,431,367,158000,2006,20062,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
717090,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,444,367,163000,2006,20062,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
717091,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,382,356,136000,2005,20054,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
717092,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,403,367,148000,2006,20062,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
717093,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,965,367,354000,2018,20181,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
717094,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,981,905,888000,2015,20152,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
756864,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,1022,367,375000,2017,20174,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
756867,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,373,367,137000,2006,20062,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
756868,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,961,819,787000,2018,20182,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
756869,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,392,421,165000,2004,20044,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
756870,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,1022,367,375000,2018,20181,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
756872,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,989,819,810000,2018,20182,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
756875,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,424,851,361000,2004,20044,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
757915,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,409,367,150000,2006,20062,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
757918,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,373,367,137000,2006,20062,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
757919,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,371,367,136000,2005,20054,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
757920,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,458,367,168000,2006,20062,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
757921,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,1052,367,386000,2016,20163,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
